year,site_code,site_name,pollutant_number,pollutant_name,average_aqi_fire_season
2004,46,NEAR ILLINIOS CENTRAL RAIL AND MEMPHIS LIGHT AND GAS SUBSTATION,81102,PM10 Total 0-10um STP,22.533333333333335
2004,47,GUTHRIE CLINIC PM 2.5,88101,PM2.5 - Local Conditions,58.78915662650602
2004,47,GUTHRIE CLINIC PM 2.5,88502,Acceptable PM2.5 AQI & Speciation Mass,62.42372881355932
2004,1004,Edmund Orgill Park Ozone,44201,Ozone,48.625
2004,1004,Edmund Orgill Park Ozone,88101,PM2.5 - Local Conditions,56.44642857142857
2005,16,Gas Service Center collocated PM 10s,81102,PM10 Total 0-10um STP,31.93103448275862
2005,21,Frayser Ozone Monitor,44201,Ozone,58.856884057971016
2005,46,NEAR ILLINIOS CENTRAL RAIL AND MEMPHIS LIGHT AND GAS SUBSTATION,42401,Sulfur dioxide,14.657608695652174
2005,46,NEAR ILLINIOS CENTRAL RAIL AND MEMPHIS LIGHT AND GAS SUBSTATION,81102,PM10 Total 0-10um STP,28.3
2005,47,GUTHRIE CLINIC PM 2.5,88101,PM2.5 - Local Conditions,66.9766081871345
2005,47,GUTHRIE CLINIC PM 2.5,88502,Acceptable PM2.5 AQI & Speciation Mass,70.42105263157895
2005,1004,Edmund Orgill Park Ozone,44201,Ozone,64.38949275362319
2005,1004,Edmund Orgill Park Ozone,88101,PM2.5 - Local Conditions,63.86666666666667
2006,16,Gas Service Center collocated PM 10s,81102,PM10 Total 0-10um STP,23.071428571428573
2006,21,Frayser Ozone Monitor,44201,Ozone,55.31768953068592
2006,24,Alabama Ave. Station,42101,Carbon monoxide,6.858695652173913
2006,24,Alabama Ave. Station,42602,Nitrogen dioxide (NO2),25.128654970760234
2006,24,Alabama Ave. Station,88101,PM2.5 - Local Conditions,63.97826086956522
2006,24,Alabama Ave. Station,88502,Acceptable PM2.5 AQI & Speciation Mass,62.78151260504202
2006,46,NEAR ILLINIOS CENTRAL RAIL AND MEMPHIS LIGHT AND GAS SUBSTATION,42401,Sulfur dioxide,6.427777777777778
2006,46,NEAR ILLINIOS CENTRAL RAIL AND MEMPHIS LIGHT AND GAS SUBSTATION,81102,PM10 Total 0-10um STP,24.846153846153847
2006,47,GUTHRIE CLINIC PM 2.5,88101,PM2.5 - Local Conditions,59.399014778325125
2006,1004,Edmund Orgill Park Ozone,44201,Ozone,59.518115942028984
2006,1004,Edmund Orgill Park Ozone,88101,PM2.5 - Local Conditions,57.05172413793103
2007,16,Gas Service Center collocated PM 10s,81102,PM10 Total 0-10um STP,28.019607843137255
2007,21,Frayser Ozone Monitor,44201,Ozone,58.907272727272726
2007,24,Alabama Ave. Station,42101,Carbon monoxide,6.875
2007,24,Alabama Ave. Station,88502,Acceptable PM2.5 AQI & Speciation Mass,67.43933054393305
2007,46,NEAR ILLINIOS CENTRAL RAIL AND MEMPHIS LIGHT AND GAS SUBSTATION,42401,Sulfur dioxide,5.353260869565218
2007,46,NEAR ILLINIOS CENTRAL RAIL AND MEMPHIS LIGHT AND GAS SUBSTATION,81102,PM10 Total 0-10um STP,25.076923076923077
2007,47,GUTHRIE CLINIC PM 2.5,88101,PM2.5 - Local Conditions,62.82272727272727
2007,1004,Edmund Orgill Park Ozone,44201,Ozone,62.61231884057971
2007,1004,Edmund Orgill Park Ozone,88101,PM2.5 - Local Conditions,60.56923076923077
2008,16,Gas Service Center collocated PM 10s,81102,PM10 Total 0-10um STP,24.228070175438596
2008,21,Frayser Ozone Monitor,44201,Ozone,51.39010989010989
2008,24,Alabama Ave. Station,42101,Carbon monoxide,4.173913043478261
2008,24,Alabama Ave. Station,88502,Acceptable PM2.5 AQI & Speciation Mass,61.264462809917354
2008,46,NEAR ILLINIOS CENTRAL RAIL AND MEMPHIS LIGHT AND GAS SUBSTATION,42401,Sulfur dioxide,6.298913043478261
2008,46,NEAR ILLINIOS CENTRAL RAIL AND MEMPHIS LIGHT AND GAS SUBSTATION,81102,PM10 Total 0-10um STP,22.923076923076923
